commodity,day,qty
BreadCrumb,25,0.0
Candy,25,0.0
Default,25,0.0
Dip,25,0.0
Instant,25,0.0
Not Available,25,0.0
Nut,25,441.4840000000001
Powder,25,0.0
Supplement,25,0.0
Tobacco,25,0.0
BreadCrumb,26,0.0
Candy,26,0.0
Default,26,0.0
Dip,26,0.0
Instant,26,0.0
Not Available,26,0.0
Nut,26,844.6640000000001
Powder,26,0.0
Supplement,26,0.0
Tobacco,26,0.0
BreadCrumb,27,0.0
Candy,27,0.0
Default,27,0.0
Dip,27,0.0
Instant,27,0.0
Not Available,27,0.0
Nut,27,1872.7440000000001
Powder,27,0.0
Supplement,27,124.416
Tobacco,27,0.0
BreadCrumb,28,166.32
Candy,28,0.0
Default,28,0.0
Dip,28,0.0
Instant,28,0.0
Not Available,28,0.0
Nut,28,537.124
Powder,28,0.0
Supplement,28,157.5
Tobacco,28,0.0
BreadCrumb,29,0.0
Candy,29,0.0
Default,29,0.0
Dip,29,0.0
Instant,29,0.0
Not Available,29,0.0
Nut,29,532.116
Powder,29,0.0
Supplement,29,0.0
Tobacco,29,0.0
BreadCrumb,30,0.0
Candy,30,0.0
Default,30,0.0
Dip,30,0.0
Instant,30,0.0
Not Available,30,0.0
Nut,30,221.36399999999998
Powder,30,0.0
Supplement,30,0.0
Tobacco,30,0.0
BreadCrumb,32,0.0
Candy,32,0.0
Default,32,0.0
Dip,32,0.0
Instant,32,0.0
Not Available,32,0.0
Nut,32,491.2920000000001
Powder,32,0.0
Supplement,32,0.0
Tobacco,32,0.0
BreadCrumb,33,0.0
Candy,33,0.0
Default,33,0.0
Dip,33,0.0
Instant,33,0.0
Not Available,33,0.0
Nut,33,959.548
Powder,33,0.0
Supplement,33,0.0
Tobacco,33,0.0
BreadCrumb,34,0.0
Candy,34,0.0
Default,34,0.0
Dip,34,0.0
Instant,34,0.0
Not Available,34,0.0
Nut,34,2892.4759999999983
Powder,34,0.0
Supplement,34,0.0
Tobacco,34,0.0
BreadCrumb,35,0.0
Candy,35,0.0
Default,35,0.0
Dip,35,0.0
Instant,35,0.0
Not Available,35,0.0
Nut,35,621.644
Powder,35,0.0
Supplement,35,0.0
Tobacco,35,0.0
BreadCrumb,36,0.0
Candy,36,0.0
Default,36,0.0
Dip,36,0.0
Instant,36,0.0
Not Available,36,0.0
Nut,36,216.216
Powder,36,0.0
Supplement,36,153.834
Tobacco,36,0.0
BreadCrumb,37,0.0
Candy,37,0.0
Default,37,0.0
Dip,37,0.0
Instant,37,0.0
Not Available,37,0.0
Nut,37,311.84400000000005
Powder,37,0.0
Supplement,37,0.0
Tobacco,37,0.0
BreadCrumb,39,0.0
Candy,39,0.0
Default,39,0.0
Dip,39,0.0
Instant,39,0.0
Not Available,39,0.0
Nut,39,419.95199999999994
Powder,39,0.0
Supplement,39,37.584
Tobacco,39,0.0
BreadCrumb,40,0.0
Candy,40,0.0
Default,40,0.0
Dip,40,0.0
Instant,40,0.0
Not Available,40,0.0
Nut,40,841.4820000000001
Powder,40,0.0
Supplement,40,0.0
Tobacco,40,0.0
BreadCrumb,41,0.0
Candy,41,0.0
Default,41,0.0
Dip,41,0.0
Instant,41,0.0
Not Available,41,0.0
Nut,41,2345.111999999999
Powder,41,0.0
Supplement,41,0.0
Tobacco,41,0.0
BreadCrumb,42,0.0
Candy,42,0.0
Default,42,0.0
Dip,42,0.0
Instant,42,0.0
Not Available,42,0.0
Nut,42,603.332
Powder,42,0.0
Supplement,42,0.0
Tobacco,42,0.0
BreadCrumb,43,0.0
Candy,43,0.0
Default,43,0.0
Dip,43,0.0
Instant,43,0.0
Not Available,43,0.0
Nut,43,828.024
Powder,43,0.0
Supplement,43,0.0
Tobacco,43,0.0
BreadCrumb,44,0.0
Candy,44,0.0
Default,44,0.0
Dip,44,0.0
Instant,44,0.0
Not Available,44,0.0
Nut,44,2096.644
Powder,44,0.0
Supplement,44,0.0
Tobacco,44,0.0
BreadCrumb,46,0.0
Candy,46,0.0
Default,46,0.0
Dip,46,0.0
Instant,46,0.0
Not Available,46,0.0
Nut,46,758.0319999999998
Powder,46,0.0
Supplement,46,0.0
Tobacco,46,0.0
BreadCrumb,47,0.0
Candy,47,0.0
Default,47,0.0
Dip,47,0.0
Instant,47,0.0
Not Available,47,0.0
Nut,47,940.7439999999999
Powder,47,0.0
Supplement,47,0.0
Tobacco,47,0.0
BreadCrumb,48,185.07999999999998
Candy,48,0.0
Default,48,0.0
Dip,48,0.0
Instant,48,0.0
Not Available,48,0.0
Nut,48,850.932
Powder,48,0.0
Supplement,48,114.048
Tobacco,48,0.0
BreadCrumb,49,0.0
Candy,49,0.0
Default,49,0.0
Dip,49,0.0
Instant,49,0.0
Not Available,49,0.0
Nut,49,645.28
Powder,49,0.0
Supplement,49,0.0
Tobacco,49,0.0
BreadCrumb,50,166.32
Candy,50,0.0
Default,50,0.0
Dip,50,0.0
Instant,50,0.0
Not Available,50,0.0
Nut,50,2144.092
Powder,50,0.0
Supplement,50,31.824
Tobacco,50,0.0
BreadCrumb,53,0.0
Candy,53,0.0
Default,53,0.0
Dip,53,0.0
Instant,53,0.0
Not Available,53,0.0
Nut,53,2084.256
Powder,53,0.0
Supplement,53,0.0
Tobacco,53,149.61599999999999
BreadCrumb,54,0.0
Candy,54,0.0
Default,54,0.0
Dip,54,0.0
Instant,54,0.0
Not Available,54,0.0
Nut,54,501.696
Powder,54,0.0
Supplement,54,0.0
Tobacco,54,0.0
BreadCrumb,55,0.0
Candy,55,0.0
Default,55,0.0
Dip,55,0.0
Instant,55,0.0
Not Available,55,0.0
Nut,55,686.25
Powder,55,0.0
Supplement,55,175.0
Tobacco,55,0.0
BreadCrumb,56,0.0
Candy,56,0.0
Default,56,0.0
Dip,56,0.0
Instant,56,0.0
Not Available,56,0.0
Nut,56,744.9800000000001
Powder,56,0.0
Supplement,56,0.0
Tobacco,56,0.0
BreadCrumb,57,0.0
Candy,57,0.0
Default,57,0.0
Dip,57,0.0
Instant,57,0.0
Not Available,57,0.0
Nut,57,2155.212
Powder,57,0.0
Supplement,57,36.288
Tobacco,57,0.0
BreadCrumb,60,0.0
Candy,60,0.0
Default,60,0.0
Dip,60,0.0
Instant,60,0.0
Not Available,60,0.0
Nut,60,671.2759999999998
Powder,60,0.0
Supplement,60,0.0
Tobacco,60,0.0
BreadCrumb,61,0.0
Candy,61,0.0
Default,61,0.0
Dip,61,0.0
Instant,61,0.0
Not Available,61,0.0
Nut,61,704.032
Powder,61,0.0
Supplement,61,55.728
Tobacco,61,0.0
BreadCrumb,62,0.0
Candy,62,0.0
Default,62,0.0
Dip,62,0.0
Instant,62,0.0
Not Available,62,0.0
Nut,62,982.8919999999997
Powder,62,0.0
Supplement,62,55.728
Tobacco,62,0.0
BreadCrumb,63,0.0
Candy,63,0.0
Default,63,0.0
Dip,63,0.0
Instant,63,0.0
Not Available,63,0.0
Nut,63,272.376
Powder,63,0.0
Supplement,63,0.0
Tobacco,63,0.0
BreadCrumb,64,0.0
Candy,64,60.0
Default,64,0.0
Dip,64,0.0
Instant,64,0.0
Not Available,64,0.0
Nut,64,2720.7799999999993
Powder,64,0.0
Supplement,64,0.0
Tobacco,64,0.0
BreadCrumb,67,166.32
Candy,67,0.0
Default,67,0.0
Dip,67,0.0
Instant,67,0.0
Not Available,67,0.0
Nut,67,1105.6800000000003
Powder,67,0.0
Supplement,67,0.0
Tobacco,67,0.0
BreadCrumb,68,0.0
Candy,68,0.0
Default,68,0.0
Dip,68,0.0
Instant,68,0.0
Not Available,68,0.0
Nut,68,626.1519999999999
Powder,68,0.0
Supplement,68,0.0
Tobacco,68,0.0
BreadCrumb,69,185.07999999999998
Candy,69,0.0
Default,69,0.0
Dip,69,0.0
Instant,69,0.0
Not Available,69,0.0
Nut,69,251.94
Powder,69,0.0
Supplement,69,173.58599999999998
Tobacco,69,0.0
BreadCrumb,71,0.0
Candy,71,0.0
Default,71,0.0
Dip,71,0.0
Instant,71,0.0
Not Available,71,0.0
Nut,71,700.6759999999999
Powder,71,0.0
Supplement,71,0.0
Tobacco,71,0.0
BreadCrumb,74,0.0
Candy,74,0.0
Default,74,0.0
Dip,74,0.0
Instant,74,0.0
Not Available,74,0.0
Nut,74,2521.812
Powder,74,0.0
Supplement,74,0.0
Tobacco,74,0.0
BreadCrumb,75,0.0
Candy,75,0.0
Default,75,0.0
Dip,75,0.0
Instant,75,0.0
Not Available,75,0.0
Nut,75,755.2479999999999
Powder,75,0.0
Supplement,75,62.208
Tobacco,75,0.0
BreadCrumb,76,0.0
Candy,76,0.0
Default,76,0.0
Dip,76,0.0
Instant,76,0.0
Not Available,76,0.0
Nut,76,530.3159999999999
Powder,76,0.0
Supplement,76,0.0
Tobacco,76,0.0
BreadCrumb,77,0.0
Candy,77,0.0
Default,77,0.0
Dip,77,0.0
Instant,77,0.0
Not Available,77,0.0
Nut,77,1961.352
Powder,77,0.0
Supplement,77,0.0
Tobacco,77,0.0
BreadCrumb,78,0.0
Candy,78,0.0
Default,78,0.0
Dip,78,0.0
Instant,78,0.0
Not Available,78,0.0
Nut,78,848.9000000000001
Powder,78,0.0
Supplement,78,0.0
Tobacco,78,0.0
BreadCrumb,81,0.0
Candy,81,0.0
Default,81,0.0
Dip,81,0.0
Instant,81,0.0
Not Available,81,0.0
Nut,81,2661.884
Powder,81,0.0
Supplement,81,50.0
Tobacco,81,0.0
BreadCrumb,82,0.0
Candy,82,0.0
Default,82,0.0
Dip,82,0.0
Instant,82,0.0
Not Available,82,0.0
Nut,82,836.4820000000002
Powder,82,0.0
Supplement,82,0.0
Tobacco,82,0.0
BreadCrumb,83,0.0
Candy,83,0.0
Default,83,0.0
Dip,83,0.0
Instant,83,0.0
Not Available,83,0.0
Nut,83,697.746
Powder,83,0.0
Supplement,83,41.184
Tobacco,83,0.0
BreadCrumb,84,0.0
Candy,84,0.0
Default,84,0.0
Dip,84,0.0
Instant,84,0.0
Not Available,84,0.0
Nut,84,477.08799999999997
Powder,84,0.0
Supplement,84,0.0
Tobacco,84,0.0
BreadCrumb,85,0.0
Candy,85,0.0
Default,85,0.0
Dip,85,0.0
Instant,85,0.0
Not Available,85,0.0
Nut,85,1035.704
Powder,85,0.0
Supplement,85,0.0
Tobacco,85,0.0
BreadCrumb,88,0.0
Candy,88,0.0
Default,88,0.0
Dip,88,0.0
Instant,88,0.0
Not Available,88,0.0
Nut,88,1596.0
Powder,88,0.0
Supplement,88,0.0
Tobacco,88,0.0
BreadCrumb,90,0.0
Candy,90,0.0
Default,90,0.0
Dip,90,0.0
Instant,90,0.0
Not Available,90,0.0
Nut,90,717.336
Powder,90,0.0
Supplement,90,0.0
Tobacco,90,0.0
BreadCrumb,91,0.0
Candy,91,0.0
Default,91,0.0
Dip,91,0.0
Instant,91,0.0
Not Available,91,0.0
Nut,91,371.592
Powder,91,0.0
Supplement,91,0.0
Tobacco,91,0.0
BreadCrumb,92,0.0
Candy,92,0.0
Default,92,0.0
Dip,92,0.0
Instant,92,0.0
Not Available,92,0.0
Nut,92,2089.368
Powder,92,0.0
Supplement,92,0.0
Tobacco,92,0.0
BreadCrumb,95,0.0
Candy,95,0.0
Default,95,0.0
Dip,95,0.0
Instant,95,0.0
Not Available,95,0.0
Nut,95,393.504
Powder,95,0.0
Supplement,95,0.0
Tobacco,95,0.0
BreadCrumb,96,166.32
Candy,96,0.0
Default,96,0.0
Dip,96,0.0
Instant,96,0.0
Not Available,96,0.0
Nut,96,907.0120000000001
Powder,96,0.0
Supplement,96,0.0
Tobacco,96,0.0
BreadCrumb,97,0.0
Candy,97,0.0
Default,97,0.0
Dip,97,0.0
Instant,97,0.0
Not Available,97,0.0
Nut,97,580.936
Powder,97,0.0
Supplement,97,0.0
Tobacco,97,0.0
BreadCrumb,98,0.0
Candy,98,0.0
Default,98,0.0
Dip,98,0.0
Instant,98,0.0
Not Available,98,0.0
Nut,98,337.116
Powder,98,0.0
Supplement,98,0.0
Tobacco,98,0.0
BreadCrumb,99,0.0
Candy,99,0.0
Default,99,0.0
Dip,99,0.0
Instant,99,0.0
Not Available,99,0.0
Nut,99,2273.7119999999995
Powder,99,0.0
Supplement,99,229.608
Tobacco,99,0.0
BreadCrumb,100,0.0
Candy,100,0.0
Default,100,0.0
Dip,100,0.0
Instant,100,0.0
Not Available,100,0.0
Nut,100,546.956
Powder,100,0.0
Supplement,100,0.0
Tobacco,100,0.0
BreadCrumb,102,0.0
Candy,102,0.0
Default,102,0.0
Dip,102,0.0
Instant,102,0.0
Not Available,102,0.0
Nut,102,920.9119999999998
Powder,102,0.0
Supplement,102,0.0
Tobacco,102,0.0
BreadCrumb,103,0.0
Candy,103,0.0
Default,103,0.0
Dip,103,0.0
Instant,103,0.0
Not Available,103,0.0
Nut,103,648.516
Powder,103,0.0
Supplement,103,0.0
Tobacco,103,0.0
BreadCrumb,104,0.0
Candy,104,0.0
Default,104,0.0
Dip,104,0.0
Instant,104,0.0
Not Available,104,0.0
Nut,104,360.336
Powder,104,0.0
Supplement,104,41.184
Tobacco,104,0.0
BreadCrumb,105,0.0
Candy,105,0.0
Default,105,0.0
Dip,105,0.0
Instant,105,0.0
Not Available,105,0.0
Nut,105,575.528
Powder,105,0.0
Supplement,105,0.0
Tobacco,105,0.0
BreadCrumb,106,0.0
Candy,106,48.672
Default,106,0.0
Dip,106,0.0
Instant,106,0.0
Not Available,106,0.0
Nut,106,2088.0640000000008
Powder,106,0.0
Supplement,106,0.0
Tobacco,106,0.0
BreadCrumb,109,0.0
Candy,109,0.0
Default,109,0.0
Dip,109,0.0
Instant,109,0.0
Not Available,109,0.0
Nut,109,860.76
Powder,109,0.0
Supplement,109,0.0
Tobacco,109,0.0
BreadCrumb,110,0.0
Candy,110,0.0
Default,110,0.0
Dip,110,0.0
Instant,110,0.0
Not Available,110,0.0
Nut,110,858.284
Powder,110,0.0
Supplement,110,0.0
Tobacco,110,0.0
BreadCrumb,111,0.0
Candy,111,0.0
Default,111,0.0
Dip,111,0.0
Instant,111,0.0
Not Available,111,0.0
Nut,111,536.802
Powder,111,0.0
Supplement,111,82.944
Tobacco,111,0.0
BreadCrumb,112,0.0
Candy,112,0.0
Default,112,0.0
Dip,112,0.0
Instant,112,0.0
Not Available,112,0.0
Nut,112,861.3639999999999
Powder,112,0.0
Supplement,112,0.0
Tobacco,112,0.0
BreadCrumb,113,0.0
Candy,113,0.0
Default,113,0.0
Dip,113,0.0
Instant,113,0.0
Not Available,113,0.0
Nut,113,1875.5520000000001
Powder,113,0.0
Supplement,113,50.0
Tobacco,113,0.0
BreadCrumb,116,0.0
Candy,116,0.0
Default,116,0.0
Dip,116,0.0
Instant,116,0.0
Not Available,116,0.0
Nut,116,379.08000000000004
Powder,116,0.0
Supplement,116,0.0
Tobacco,116,0.0
BreadCrumb,117,0.0
Candy,117,0.0
Default,117,0.0
Dip,117,0.0
Instant,117,0.0
Not Available,117,0.0
Nut,117,395.46
Powder,117,0.0
Supplement,117,0.0
Tobacco,117,0.0
BreadCrumb,118,0.0
Candy,118,0.0
Default,118,0.0
Dip,118,0.0
Instant,118,0.0
Not Available,118,0.0
Nut,118,2061.66
Powder,118,0.0
Supplement,118,0.0
Tobacco,118,0.0
BreadCrumb,119,0.0
Candy,119,0.0
Default,119,0.0
Dip,119,0.0
Instant,119,0.0
Not Available,119,0.0
Nut,119,559.0359999999998
Powder,119,0.0
Supplement,119,0.0
Tobacco,119,0.0
BreadCrumb,120,166.32
Candy,120,0.0
Default,120,0.0
Dip,120,0.0
Instant,120,0.0
Not Available,120,0.0
Nut,120,471.31600000000003
Powder,120,0.0
Supplement,120,0.0
Tobacco,120,45.239999999999995
BreadCrumb,124,0.0
Candy,124,0.0
Default,124,0.0
Dip,124,0.0
Instant,124,0.0
Not Available,124,0.0
Nut,124,0.0
Powder,124,0.0
Supplement,124,80.0
Tobacco,124,0.0
BreadCrumb,127,0.0
Candy,127,0.0
Default,127,0.0
Dip,127,0.0
Instant,127,0.0
Not Available,127,0.0
Nut,127,1659.18
Powder,127,0.0
Supplement,127,0.0
Tobacco,127,0.0
BreadCrumb,130,0.0
Candy,130,0.0
Default,130,0.0
Dip,130,0.0
Instant,130,0.0
Not Available,130,0.0
Nut,130,848.8720000000001
Powder,130,0.0
Supplement,130,0.0
Tobacco,130,0.0
BreadCrumb,131,0.0
Candy,131,0.0
Default,131,0.0
Dip,131,0.0
Instant,131,0.0
Not Available,131,0.0
Nut,131,820.144
Powder,131,0.0
Supplement,131,50.544
Tobacco,131,0.0
BreadCrumb,132,185.07999999999998
Candy,132,0.0
Default,132,0.0
Dip,132,0.0
Instant,132,0.0
Not Available,132,0.0
Nut,132,687.364
Powder,132,0.0
Supplement,132,46.08
Tobacco,132,0.0
BreadCrumb,133,0.0
Candy,133,0.0
Default,133,0.0
Dip,133,0.0
Instant,133,0.0
Not Available,133,0.0
Nut,133,545.2199999999999
Powder,133,0.0
Supplement,133,22.464000000000002
Tobacco,133,0.0
BreadCrumb,134,0.0
Candy,134,0.0
Default,134,0.0
Dip,134,0.0
Instant,134,0.0
Not Available,134,0.0
Nut,134,2137.212
Powder,134,0.0
Supplement,134,0.0
Tobacco,134,0.0
BreadCrumb,137,0.0
Candy,137,0.0
Default,137,0.0
Dip,137,0.0
Instant,137,0.0
Not Available,137,0.0
Nut,137,1209.624
Powder,137,0.0
Supplement,137,0.0
Tobacco,137,0.0
BreadCrumb,138,0.0
Candy,138,0.0
Default,138,0.0
Dip,138,0.0
Instant,138,0.0
Not Available,138,0.0
Nut,138,624.7800000000001
Powder,138,0.0
Supplement,138,0.0
Tobacco,138,0.0
BreadCrumb,139,0.0
Candy,139,0.0
Default,139,0.0
Dip,139,0.0
Instant,139,0.0
Not Available,139,0.0
Nut,139,877.1320000000002
Powder,139,0.0
Supplement,139,88.44800000000001
Tobacco,139,0.0
BreadCrumb,140,0.0
Candy,140,0.0
Default,140,0.0
Dip,140,0.0
Instant,140,0.0
Not Available,140,0.0
Nut,140,750.4480000000001
Powder,140,0.0
Supplement,140,0.0
Tobacco,140,0.0
BreadCrumb,141,0.0
Candy,141,0.0
Default,141,0.0
Dip,141,0.0
Instant,141,0.0
Not Available,141,0.0
Nut,141,953.7719999999998
Powder,141,0.0
Supplement,141,0.0
Tobacco,141,0.0
BreadCrumb,144,0.0
Candy,144,0.0
Default,144,0.0
Dip,144,0.0
Instant,144,0.0
Not Available,144,0.0
Nut,144,2300.4759999999997
Powder,144,0.0
Supplement,144,0.0
Tobacco,144,0.0
BreadCrumb,145,0.0
Candy,145,0.0
Default,145,0.0
Dip,145,0.0
Instant,145,0.0
Not Available,145,0.0
Nut,145,357.30000000000007
Powder,145,0.0
Supplement,145,102.5
Tobacco,145,0.0
BreadCrumb,146,0.0
Candy,146,0.0
Default,146,0.0
Dip,146,0.0
Instant,146,0.0
Not Available,146,0.0
Nut,146,1995.5159999999998
Powder,146,0.0
Supplement,146,0.0
Tobacco,146,0.0
BreadCrumb,147,0.0
Candy,147,0.0
Default,147,0.0
Dip,147,0.0
Instant,147,0.0
Not Available,147,0.0
Nut,147,530.644
Powder,147,0.0
Supplement,147,0.0
Tobacco,147,0.0
BreadCrumb,148,0.0
Candy,148,0.0
Default,148,0.0
Dip,148,0.0
Instant,148,0.0
Not Available,148,0.0
Nut,148,259.89599999999996
Powder,148,0.0
Supplement,148,0.0
Tobacco,148,0.0
BreadCrumb,152,166.32
Candy,152,0.0
Default,152,0.0
Dip,152,0.0
Instant,152,0.0
Not Available,152,0.0
Nut,152,955.1279999999999
Powder,152,0.0
Supplement,152,0.0
Tobacco,152,0.0
BreadCrumb,153,0.0
Candy,153,0.0
Default,153,0.0
Dip,153,0.0
Instant,153,0.0
Not Available,153,0.0
Nut,153,746.616
Powder,153,0.0
Supplement,153,0.0
Tobacco,153,0.0
BreadCrumb,154,0.0
Candy,154,0.0
Default,154,0.0
Dip,154,0.0
Instant,154,0.0
Not Available,154,0.0
Nut,154,526.5
Powder,154,0.0
Supplement,154,0.0
Tobacco,154,0.0
BreadCrumb,155,0.0
Candy,155,0.0
Default,155,0.0
Dip,155,0.0
Instant,155,0.0
Not Available,155,0.0
Nut,155,2172.312
Powder,155,0.0
Supplement,155,0.0
Tobacco,155,0.0
BreadCrumb,158,0.0
Candy,158,0.0
Default,158,0.0
Dip,158,0.0
Instant,158,0.0
Not Available,158,0.0
Nut,158,609.5240000000001
Powder,158,0.0
Supplement,158,0.0
Tobacco,158,0.0
BreadCrumb,159,0.0
Candy,159,0.0
Default,159,0.0
Dip,159,0.0
Instant,159,0.0
Not Available,159,0.0
Nut,159,962.688
Powder,159,0.0
Supplement,159,0.0
Tobacco,159,0.0
BreadCrumb,160,0.0
Candy,160,0.0
Default,160,0.0
Dip,160,0.0
Instant,160,0.0
Not Available,160,0.0
Nut,160,864.3319999999999
Powder,160,0.0
Supplement,160,193.97
Tobacco,160,0.0
BreadCrumb,161,0.0
Candy,161,0.0
Default,161,0.0
Dip,161,0.0
Instant,161,0.0
Not Available,161,0.0
Nut,161,228.424
Powder,161,0.0
Supplement,161,51.839999999999996
Tobacco,161,0.0
BreadCrumb,162,0.0
Candy,162,0.0
Default,162,0.0
Dip,162,0.0
Instant,162,0.0
Not Available,162,0.0
Nut,162,306.61199999999997
Powder,162,0.0
Supplement,162,0.0
Tobacco,162,0.0
BreadCrumb,165,0.0
Candy,165,0.0
Default,165,0.0
Dip,165,0.0
Instant,165,0.0
Not Available,165,0.0
Nut,165,2259.1760000000004
Powder,165,0.0
Supplement,165,0.0
Tobacco,165,0.0
BreadCrumb,166,0.0
Candy,166,0.0
Default,166,0.0
Dip,166,0.0
Instant,166,0.0
Not Available,166,0.0
Nut,166,2030.244
Powder,166,0.0
Supplement,166,0.0
Tobacco,166,0.0
BreadCrumb,167,0.0
Candy,167,0.0
Default,167,0.0
Dip,167,0.0
Instant,167,0.0
Not Available,167,0.0
Nut,167,1217.2680000000005
Powder,167,0.0
Supplement,167,25.92
Tobacco,167,0.0
BreadCrumb,168,0.0
Candy,168,0.0
Default,168,0.0
Dip,168,0.0
Instant,168,0.0
Not Available,168,0.0
Nut,168,1054.502
Powder,168,0.0
Supplement,168,0.0
Tobacco,168,0.0
BreadCrumb,172,0.0
Candy,172,60.0
Default,172,0.0
Dip,172,0.0
Instant,172,0.0
Not Available,172,0.0
Nut,172,620.468
Powder,172,0.0
Supplement,172,0.0
Tobacco,172,0.0
BreadCrumb,173,185.07999999999998
Candy,173,0.0
Default,173,0.0
Dip,173,0.0
Instant,173,0.0
Not Available,173,159.6
Nut,173,495.7439999999999
Powder,173,0.0
Supplement,173,0.0
Tobacco,173,0.0
BreadCrumb,174,0.0
Candy,174,0.0
Default,174,0.0
Dip,174,0.0
Instant,174,0.0
Not Available,174,0.0
Nut,174,727.8
Powder,174,0.0
Supplement,174,95.904
Tobacco,174,0.0
BreadCrumb,175,0.0
Candy,175,0.0
Default,175,0.0
Dip,175,0.0
Instant,175,0.0
Not Available,175,0.0
Nut,175,751.608
Powder,175,0.0
Supplement,175,100.0
Tobacco,175,0.0
BreadCrumb,176,0.0
Candy,176,0.0
Default,176,0.0
Dip,176,0.0
Instant,176,0.0
Not Available,176,0.0
Nut,176,1596.0
Powder,176,0.0
Supplement,176,0.0
Tobacco,176,0.0
BreadCrumb,179,0.0
Candy,179,0.0
Default,179,0.0
Dip,179,0.0
Instant,179,0.0
Not Available,179,0.0
Nut,179,737.966
Powder,179,0.0
Supplement,179,0.0
Tobacco,179,0.0
BreadCrumb,180,0.0
Candy,180,0.0
Default,180,0.0
Dip,180,0.0
Instant,180,0.0
Not Available,180,0.0
Nut,180,321.98400000000004
Powder,180,0.0
Supplement,180,0.0
Tobacco,180,0.0
BreadCrumb,181,0.0
Candy,181,0.0
Default,181,0.0
Dip,181,0.0
Instant,181,0.0
Not Available,181,0.0
Nut,181,461.1599999999999
Powder,181,0.0
Supplement,181,74.88
Tobacco,181,0.0
BreadCrumb,182,0.0
Candy,182,0.0
Default,182,0.0
Dip,182,0.0
Instant,182,0.0
Not Available,182,0.0
Nut,182,837.7
Powder,182,0.0
Supplement,182,163.332
Tobacco,182,0.0
BreadCrumb,187,0.0
Candy,187,0.0
Default,187,0.0
Dip,187,0.0
Instant,187,0.0
Not Available,187,0.0
Nut,187,183.5
Powder,187,0.0
Supplement,187,0.0
Tobacco,187,0.0
BreadCrumb,188,0.0
Candy,188,0.0
Default,188,0.0
Dip,188,40.176
Instant,188,0.0
Not Available,188,0.0
